Title	Author	Genres	Rate	Count	Url
Devil Cry Dragon Advanture	Kizuha-Author	Dị Giới, Trọng Sinh, Khác	10	3	https://truyenfull.vision/devil-cry-dragon-advanture
Uyên Ương Cùng Nhau Xuống Hoàng Tuyền	Minh Hà	Ngôn Tình, Trọng Sinh, Cổ Đại, Khác	10	2	https://truyenfull.vision/uyen-uong-cung-nhau-xuong-hoang-tuyen
Xin Chào, Lý Hồng Xuân - Hàm Thanh	Hàm Thanh	Xuyên Không, Trọng Sinh, Khác	10	1	https://truyenfull.vision/xin-chao-ly-hong-xuan-ham-thanh
Tuý Kinh Hoa - Viên Chocolate Ngọt Ngào	Viên Chocolate Ngọt Ngào	Trọng Sinh, Cổ Đại, Khác	9.6	7	https://truyenfull.vision/tuy-kinh-hoa-vien-chocolate-ngot-ngao
Thanh Thiên Bạch Nhật - Hành Chi	Hành Chi	Ngôn Tình, Trọng Sinh, Cung Đấu, Nữ Cường, Cổ Đại	9.5	6	https://truyenfull.vision/thanh-thien-bach-nhat-hanh-chi
Hắn Tưởng Ta Trùng Sinh - Chu Chu Du Du	Chu Chu Du Du	Ngôn Tình, Trọng Sinh, Hài Hước, Cổ Đại	9.5	6	https://truyenfull.vision/han-tuong-ta-trung-sinh-chu-chu-du-du
Sống Lại Uống Thuốc Thay Đổi Giới Tính	Đường Bảo	Đô Thị, Trọng Sinh, Khác	9.5	2	https://truyenfull.vision/song-lai-uong-thuoc-thay-doi-gioi-tinh
Nhiệt Độ Cơ Thể Của Ác Ma	Đằng La Vi Chi	Ngôn Tình, Trọng Sinh, Sủng	9.4	3048	https://truyenfull.vision/nhiet-do-co-the-cua-ac-ma
Em Về Cùng Ngày Nắng	Cuồng Diêu Tiểu Vĩ Ba	Ngôn Tình, Trọng Sinh, Sủng	9.4	2685	https://truyenfull.vision/em-ve-cung-ngay-nang
Trở Về Thời Niên Thiếu Của Kiếm Tiên	Triều Lộ Hà Khô	Ngôn Tình, Trọng Sinh, Cổ Đại, Ngược	9.4	72	https://truyenfull.vision/tro-ve-thoi-nien-thieu-cua-kiem-tien
Chìm Trong Váy - Nguyệt Lộc	Nguyệt Lộc	Trọng Sinh, Cổ Đại, Khác	9.4	5	https://truyenfull.vision/chim-trong-vay-nguyet-loc
Hệ Thống Xuyên Nhanh: Boss Phản Diện Đột Kích	Mặc Linh	Ngôn Tình, Xuyên Không, Trọng Sinh, Xuyên Nhanh, Hệ Thống	9.3	4398	https://truyenfull.vision/he-thong-xuyen-nhanh-boss-phan-dien-dot-kich
"""Fan Vợ"" - Bạn Đã Biết Chưa?"	Xuân Đao Hàn	Ngôn Tình, Xuyên Không, Trọng Sinh, Sủng	9.3	2410	https://truyenfull.vision/fan-vo-ban-da-biet-chua
Làm Nũng Trong Lòng Anh (Ngọt Ngào Hóa Thô Bạo Trong Anh)	Xuân Phong Lựu Hỏa	Ngôn Tình, Trọng Sinh, Nữ Cường	9.3	1890	https://truyenfull.vision/lam-nung-trong-long-anh
Thiên Kim Đại Chiến	Cửu Nguyệt Hi	Ngôn Tình, Trọng Sinh	9.3	1483	https://truyenfull.vision/thien-kim-dai-chien
Chiêu Diêu	Cửu Lộ Phi Hương	Ngôn Tình, Huyền Huyễn, Trọng Sinh, Nữ Cường, Cổ Đại	9.3	1437	https://truyenfull.vision/chieu-dieu
Tôi Là Tình Đầu Đã Chết Của Anh	Tưởng Mục Đồng	Trọng Sinh, Khác, Sủng	9.3	1115	https://truyenfull.vision/toi-la-tinh-dau-da-chet-cua-anh
Em Sẽ Đến Dỗ Anh	Hạ Tiểu Lý	Ngôn Tình, Đô Thị, Trọng Sinh, Khác, Đoản Văn	9.3	189	https://truyenfull.vision/em-se-den-do-anh
Không Phải Duy Nhất	Xảo Khắc Lực A Hoa Điềm	Ngôn Tình, Đô Thị, Trọng Sinh, Ngược, Khác, Đoản Văn	9.3	178	https://truyenfull.vision/khong-phai-duy-nhat
​Lời Tỏ Tình Không Thể Chối Từ	Bạo Táo Đích Bàng Giải	Ngôn Tình, Trọng Sinh	9.3	170	https://truyenfull.vision/loi-to-tinh-khong-the-choi-tu
Xuân Hoa Còn Vương Vấn - Mễ Hoa	Mễ Hoa	Ngôn Tình, Trọng Sinh, Cung Đấu, Cổ Đại, Ngược, Khác, Sủng	9.3	91	https://truyenfull.vision/xuan-hoa-con-vuong-van-me-hoa
Lưỡng Tương Yếm	Zhihu	Trọng Sinh, Cổ Đại, Khác, Đoản Văn	9.3	56	https://truyenfull.vision/luong-tuong-yem
Anh Vào Bắc Đại, Em Vào Thanh Điểu Bắc Đại	香菜炖大鹅	Ngôn Tình, Trọng Sinh	9.3	15	https://truyenfull.vision/anh-vao-bac-dai-em-vao-thanh-dieu-bac-dai
Ta Coi Ngươi Như Tỷ Muội, Hòe Hạ À!	Hải Đích Cáp Tử	Ngôn Tình, Trọng Sinh, Cổ Đại	9.3	13	https://truyenfull.vision/ta-coi-nguoi-nhu-ty-muoi-hoe-ha-a
Lật Ngược Số Phận - Tiểu Trần	Tiểu Trần/小尘	Trọng Sinh, Khác	9.3	13	https://truyenfull.vision/lat-nguoc-so-phan-tieu-tran
Dẫn Ninh	Bán Bình Lựu Liên Nãi	Ngôn Tình, Trọng Sinh, Nữ Cường, Cổ Đại, Khác	9.3	11	https://truyenfull.vision/dan-ninh
Đậu Nương - Lam Lam Lam Lam Lam Lam Kình	Lam Lam Lam Lam Lam Lam Kình	Trọng Sinh, Gia Đấu, Cổ Đại, Khác	9.3	10	https://truyenfull.vision/dau-nuong-lam-lam-lam-lam-lam-lam-kinh
Ngọn Gió Đưa Đại Bàng Lên Cao	Diệu Tâm Bạn Độc	Đô Thị, Trọng Sinh, Khác	9.3	7	https://truyenfull.vision/ngon-gio-dua-dai-bang-len-cao
Bệnh Yêu	Đằng La Vi Chi	Ngôn Tình, Trọng Sinh, Sủng	9.2	4638	https://truyenfull.vision/benh-yeu
Nhớ Em	Đằng La Vi Chi	Ngôn Tình, Đô Thị, Trọng Sinh, Ngược, Sủng	9.2	2044	https://truyenfull.vision/nho-em
